location,scanned,max_delivered,distinct_job_imb_count,client_company,mailing_name,mailing_status,mailing_date,startTheClockDate,scanFacilityName,JobID,delivery_date,pieceId,latitude,longitude
"93611,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[9f85c2c9-7f41-11ef-acdf-d3aeaedc4ff2],36.8253,-119.6802
"93245,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[e963e874-7f43-11ef-903c-8dd48f2055d8],36.2682,-119.8173
"22203,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-05],[4f0e3e31-7f41-11ef-821f-e5b1b5bfd9fd],38.8738,-77.1142
"95628,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[1468a9a1-7f41-11ef-9ff2-1b4e638188fc],38.6554,-121.2611
"92335,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[b777d3a4-7f41-11ef-84a8-2b75b4a9ee13],34.0794,-117.4551
"91406,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[1a5f4df1-7f41-11ef-9a86-437c770800d9],34.2006,-118.4868
"95827,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[1b69e021-7f41-11ef-943f-a138f23b0ade],38.5662,-121.3286
"92544,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[3a543bf7-7f43-11ef-b6cb-177f41ab3320],33.739,-116.9243
"91730,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[740c2717-7f41-11ef-923b-435d1d1d9489],34.107,-117.5941
"92653,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-04],[26ba9aa1-7f41-11ef-80d2-1789a4a4cc59],33.5916,-117.6985
"90240,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[29bd0531-7f41-11ef-829d-0fbc7428522d],33.9581,-118.1174
"90650,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[24aa62d0-7f42-11ef-aa14-a55cbad5c330],33.9056,-118.0818
"92376,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[99f07851-7f41-11ef-9ff2-1b4e638188fc],34.1132,-117.3771
"92679,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-01],[82c9f4d3-7f41-11ef-86d9-75b45af40979],33.6625,-117.5903
"92324,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-04],[23468282-7f41-11ef-84a8-2b75b4a9ee13],34.0315,-117.2874
"95350,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[76356fbe-7f41-11ef-922a-01c93b1ad99a],37.6746,-121.0113
"94062,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-04],[74d1c102-7f41-11ef-9a45-4176d24235ba],37.4245,-122.296
"91306,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[39c8afbb-7f41-11ef-bfd0-2556f15225ed],34.2092,-118.5749
"98109,United States",73091,1,76321,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,2024-10-01,BAKERSFIELD,[ASKJH5L],[2024-10-04],[e2a19a45-7f44-11ef-89fb-df5e10bd3b45],47.1342,-122.9052
98109United States,200,1,229,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,2024-10-01,STOCKDALE ANNEX,[ASKJH5L],[2024-10-02],[1e924947-7f41-11ef-bbc9-b181fa14eaef],47.3241,-122.0431
,192,0,192,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[],[],,
"93311,United States",50,1,57,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,CAMINO MEDIA,[ASKJH5L],[2024-10-02],[3139c26b-7f43-11ef-922a-01c93b1ad99a],43.4124,-122.1111
"98120,United States",32,1,31,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[145fe527-7f43-11ef-86d9-75b45af40979],47.2031,-122.8732
"92799,United States",10,0,21,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,SANTA ANA,[ASKJH5L],[2024-12-20],[1a0bfdd1-7f41-11ef-9ff2-1b4e638188fc],44.9813,-122.1123
"98100,United States",2,1,9,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[948ec10a-7f41-11ef-a3b8-4d24bccad950],47.2312,-122.3212
"98109,United States",3,0,8,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,2024-10-01,PASADENA,[ASKJH5L],[2024-10-04],[75db8fe3-7f41-11ef-99c1-bfec27fd69fa],47.9823,-122.1231
